respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.04519370198249817,0.17489269375801086
26708,0.04057227447628975,0.03064628876745701
26709,0.15637029707431793,0.5389752388000488
26710,0.7417272329330444,0.8990939855575562
26711,0.29436686635017395,0.500160276889801
26712,0.8227894902229309,0.9719952940940857
26713,0.21445806324481964,0.4949967563152313
26714,0.1504257321357727,0.17448660731315613
26715,0.01036773156374693,0.0838892012834549
26716,0.3626546263694763,0.931045651435852
26717,0.00216630008071661,0.3481901288032532
26718,0.27727073431015015,0.607222855091095
26719,0.06441295146942139,0.9463537335395813
26720,0.016008786857128143,0.15198418498039246
26721,0.21780870854854584,0.30434685945510864
26722,0.05396602675318718,0.08184533566236496
26723,0.8468126058578491,0.9289954900741577
26724,0.02398117072880268,0.5669282078742981
26725,0.004345607478171587,0.056921303272247314
26726,0.03187735006213188,0.042563389986753464
26727,0.45072126388549805,0.8759307861328125
26728,0.2872493267059326,0.6626690030097961
26729,0.2114907056093216,0.8667524456977844
26730,0.031406864523887634,0.18787190318107605
26731,0.01645367033779621,0.37752124667167664
26732,0.07432189583778381,0.07363162934780121
26733,0.9689744114875793,0.9817442297935486
26734,0.7844881415367126,0.6181790232658386
26735,0.10721985995769501,0.3296678066253662
26736,0.05951685085892677,0.16570119559764862
26737,0.058519117534160614,0.0704851895570755
26738,0.8641723394393921,0.8511905670166016
26739,0.14219476282596588,0.3024339973926544
26740,0.12749528884887695,0.11205186694860458
26741,0.048115890473127365,0.8860108256340027
26742,0.10180200636386871,0.390531450510025
26743,0.047386981546878815,0.5355473756790161
26744,0.011187970638275146,0.5704554319381714
26745,0.024791035801172256,0.9028114676475525
26746,0.13844673335552216,0.2646002173423767
26747,0.037624843418598175,0.11080900579690933
26748,0.04757489636540413,0.05062234029173851
26749,0.0755758285522461,0.6740432381629944
26750,0.4219829738140106,0.8562502861022949
26751,0.5501360893249512,0.8151606321334839
26752,0.03507556393742561,0.027768608182668686
26753,0.3911145329475403,0.6706295609474182
26754,0.20753319561481476,0.5502377152442932
26755,0.18751248717308044,0.3857404887676239
26756,0.017983095720410347,0.017470061779022217
26757,0.21562713384628296,0.6029177308082581
26758,0.5496554970741272,0.81328946352005
26759,0.008094829507172108,0.1395810842514038
26760,0.017538782209157944,0.03141891211271286
26761,0.35033267736434937,0.6161866784095764
26762,0.18869520723819733,0.878275990486145
26763,0.9331953525543213,0.9593132138252258
26764,0.9622327089309692,0.9789608716964722
26765,0.014528395608067513,0.6134254932403564
26766,0.08805803954601288,0.13750538229942322
26767,0.8405625820159912,0.731224536895752
26768,0.008869154378771782,0.42656251788139343
26769,0.035694338381290436,0.09843254089355469
26770,0.0289617907255888,0.4794675409793854
26771,0.017587754875421524,0.16046005487442017
26772,0.022102851420640945,0.3796929121017456
26773,0.012281890958547592,0.30756065249443054
26774,0.011030547320842743,0.4539887607097626
26775,0.020654262974858284,0.30531856417655945
